time,x,y,z,phi,theta,psi,u,v,w,p,q,r,Stern plane (deg) (command),Stern plane (deg) (actual),buoy_x,buoy_y,buoy_z,buoy_phi,buoy_theta,buoy_psi,dock_x,dock_y,dock_z,dock_phi,dock_theta,dock_psi
0.0,0.0,0.0,50.0,0.0,0.0,0.0,4.11,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.02,0.08220000000000001,0.0,50.0,0.0,0.0,0.0,4.11,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.04,0.16440000000000002,0.0,50.0,0.0,0.0,0.0,4.11,0.0,0.0,0.0,0.0,0.0,-2.1739520000000006e-05,0.0,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.06,0.24660000000000004,0.0,50.0,0.0,0.0,0.0,4.11,0.0,0.0,0.0,0.0,0.0,-6.517508096012693e-05,-4.347904000000001e-07,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.08,0.32880000000000004,0.0,49.99999999992788,0.0,6.392610005253655e-10,0.0,4.11,0.0,-3.6061233964822037e-09,0.0,3.1963050026268274e-08,0.0,-0.00013026262201146327,-1.729596211202539e-06,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.1,0.41100000000000003,0.0,49.999999999514046,0.0,3.774974118673368e-09,0.0,4.11,0.0,-1.806443215646088e-08,0.0,1.5678565590740014e-07,0.0,-0.00021695748907504459,-4.300256727207753e-06,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.12,0.4932,0.0,49.999999998118135,0.0,1.300385169876382e-08,0.0,4.11,0.0,-5.428053764218954e-08,0.0,4.614438790045226e-07,0.0,-0.0003252144221226312,-8.55340137416449e-06,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.14,0.5754,0.0,49.9999999945127,0.0,3.413000088184992e-08,0.0,4.11,0.0,-1.2682604782046336e-07,0.0,1.0563074591543048e-06,0.0,-0.000454987541267064,-1.4886621789133825e-05,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.16,0.6575999999999997,0.0,49.99999998662856,0.0,7.558229174785049e-08,0.0,4.11,0.0,-2.539328395972566e-07,0.0,2.072614543300028e-06,0.0,-0.0006062303318569407,-2.3688640178692427e-05,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.18,0.7397999999999988,0.0,49.99999997126617,0.0,1.4878428875950996e-07,0.0,4.11,0.0,-4.5747609501214816e-07,0.0,3.660099850582973e-06,0.0,-0.0007788956287438399,-3.533947401225739e-05,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.2,0.8219999999999956,0.0,49.99999994377716,0.0,2.6847967571844733e-07,0.0,4.11,0.0,-7.629469919538627e-07,0.0,5.984769347946869e-06,0.0,-0.0009729355998747162,-5.021059710688904e-05,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.22,0.9041999999999862,0.0,49.99999989771982,0.0,4.530159706884537e-07,0.0,4.11,0.0,-1.1994158938659072e-06,0.0,9.226814748500321e-06,0.0,-0.0011883017293482072,-6.866509716224558e-05,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.24,0.9863999999999615,0.0,49.99999982449217,0.0,7.245891982467434e-07,0.0,4.11,0.0,-1.7994868385461878e-06,0.0,1.3578661377914482e-05,0.0,-0.0014249448000714453,-9.105782980596482e-05,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.26,1.0685999999999023,0.0,49.99999971294606,0.0,1.1094520618857595e-06,0.0,4.11,0.0,-2.5992440835538087e-06,0.0,1.9243143181950812e-05,0.0,-0.00168281487614141,-0.00011773556921127443,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.28,1.150799999999771,0.0,49.99999954898527,0.0,1.6380880393015958e-06,0.0,4.11,0.0,-3.638191424869599e-06,0.0,2.6431798870791813e-05,0.0,-0.001961861285061085,-0.00014903715534987714,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.3,1.232999999999498,0.0,49.99999931515074,0.0,2.345353707564729e-06,0.0,4.11,0.0,-4.959184966262666e-06,0.0,3.536328341315666e-05,0.0,-0.00226203259989441,-0.0001852936379441013,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.32,1.315199999998962,0.0,49.999998990195465,0.0,3.2705914936687944e-06,0.0,4.11,0.0,-6.608359979242291e-06,0.0,4.626188930520325e-05,0.0,-0.002583276621463662,-0.0002268284171831075,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.34,1.3973999999979576,0.0,49.999998548651796,0.0,4.457714938587803e-06,0.0,4.11,0.0,-8.63505245747339e-06,0.0,5.9356172245950425e-05,0.0,-0.002925540360671678,-0.0002739573812687186,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.36,1.479599999996152,0.0,49.99999796039331,0.0,5.95526845963615e-06,0.0,4.11,0.0,-1.1091715935056937e-05,0.0,7.487767605241734e-05,0.0,-0.0032887700210324773,-0.0003269890408567778,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.38,1.5617999999930228,0.0,49.99999719019356,0.0,7.81646349651351e-06,0.0,4.11,0.0,-1.4033834105073808e-05,0.0,9.3059751843868e-05,0.0,-0.003672910981486099,-0.00038622466046029177,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.4,1.6439999999877728,0.0,49.999996197283664,0.0,1.0099192830823614e-05,0.0,4.11,0.0,-1.7519829743215413e-05,0.0,0.0001141364667155052,0.0,-0.004077907779563599,-0.0004519583868808079,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.42,1.7261999999792157,0.0,49.9999949349106,0.0,1.2866024776977858e-05,0.0,4.11,0.0,-2.1610970411130824e-05,0.0,0.00013834159730771218,0.0,-0.004503704094966678,-0.0005244773747344637,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.44,1.8083999999656264,0.0,49.99999334989794,0.0,1.6184178854128383e-05,0.0,4.11,0.0,-2.6371271385261362e-05,0.0,0.00016590770385752621,0.0,-0.0049502427336157295,-0.000604061909139108,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.46,1.8905999999445462,0.0,49.99999138221052,0.0,2.0125484464018393e-05,0.0,4.11,0.0,-3.186739622936624e-05,0.0,0.00019706528049450047,0.0,-0.005417465612214328,-0.0006909855256286404,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.48,1.972799999912536,0.0,49.99998896452458,0.0,2.4766324018288667e-05,0.0,4.11,0.0,-3.816855540262177e-05,0.0,0.0002320419777135138,0.0,-0.005905313743379582,-0.0007855151273603541,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.5,2.054999999864865,0.0,49.99998602180468,0.0,3.0187561880738294e-05,0.0,4.11,0.0,-4.5346403270059445e-05,0.0,0.0002710618931224813,0.0,-0.0064137272213793724,-0.0008879110996807387,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.52,2.1371999997951256,0.0,49.99998247088842,0.0,3.647446041520574e-05,0.0,4.11,0.0,-5.3474933858153205e-05,0.0,0.0003143449267233724,0.0,-0.006942645208502522,-0.0009984274221147113,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.54,2.2193999996947587,0.0,49.99997822008026,0.0,4.371658435801619e-05,0.0,4.11,0.0,-6.263037567553289e-05,0.0,0.00036210619714052266,0.0,-0.007492005922103306,-0.0011173117778424675,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.56,2.30159999955248,0.0,49.99997316875531,0.0,5.2007694665235896e-05,0.0,4.11,0.0,-7.289108589704621e-05,0.0,0.0004145555153609852,0.0,-0.00806174662234261,-0.0012448056607276842,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.58,2.3837999993535886,0.0,49.99996720697393,0.0,6.14456329191901e-05,0.0,4.11,0.0,-8.433744418868054e-05,0.0,0.0004718969126977103,0.0,-0.008651803600648142,-0.0013811444799599827,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.6,2.465999999079145,0.0,49.99996021510798,0.0,7.213219731574467e-05,0.0,4.11,0.0,-9.705174643114789e-05,0.0,0.0005343282198277286,0.0,-0.009262112168915404,-0.001526557662373746,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.62,2.5481999987049955,0.0,49.999952063479405,0.0,8.417301119363115e-05,0.0,4.11,0.0,-0.00011111809858119352,0.0,0.0006020406938943242,0.0,-0.009892606649461887,-0.0016812687525045791,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.64,2.6303999982006343,0.0,49.99994261201169,0.0,9.767738500952142e-05,0.0,4.11,0.0,-0.00012662231089187725,0.0,0.0006752186907945133,0.0,-0.010543220365750762,-0.0018454955104437252,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.66,2.712599997527874,0.0,49.99993170989481,0.0,0.00011275817260754267,0.0,4.11,0.0,-0.00014365179269615848,0.0,0.0007540393799010624,0.0,-0.011213885633894609,-0.002019450007549866,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
